Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	Cnt_1 count	Cnt_2 count	Cnt_3 count	Cnt_4 count	Cnt_6 count	Nic_1 count	Nic_3 count	Nic_4 count	Nic_5 count	Nic_6 count	Cnt_1 normalised count	Cnt_2 normalised count	Cnt_3 normalised count	Cnt_4 normalised count	Cnt_6 normalised count	Nic_1 normalised count	Nic_3 normalised count	Nic_4 normalised count	Nic_5 normalised count	Nic_6 normalised count
ENSDARG00000041294	4.904002310063973e-37	1.0867269119101765e-32	1.5709251030700861	3	62161184	62169060	1	protein_coding	noxo1a	NADPH oxidase organizer 1a [Source:ZFIN;Acc:ZDB-GENE-030131-9700]	78	106	96	89	114	226	380	251	232	301	85.96347439157059	99.74890077109235	79.95225867657936	89.38427779553204	104.72584484622632	237.84335390358166	321.72302416743827	248.62664931889933	260.1978806166741	294.7608405076564
ENSDARG00000060498	1.1297090308658515e-25	1.2517176061993635e-21	1.5921762041345	23	30006206	30010042	1	protein_coding	tnfrsf9a	tumor necrosis factor receptor superfamily, member 9a [Source:ZFIN;Acc:ZDB-GENE-060421-8213]	30	50	52	38	48	96	155	142	110	129	33.06287476598869	47.051368288251105	43.30747344981383	38.16407366550806	44.095092566832136	101.03080519798158	131.2291282788235	140.65730758280358	123.36968477514722	126.3260745032813
ENSDARG00000031683	3.2009883731403506e-25	2.364463411626339e-21	-1.277820860357806	20	46552311	46554440	-1	protein_coding	fosab	v-fos FBJ murine osteosarcoma viral oncogene homolog Ab [Source:ZFIN;Acc:ZDB-GENE-031222-4]	555	976	720	537	953	250	328	313	258	329	611.6631831707907	918.4427089866616	599.6419400743453	539.3186199573113	875.4713170039797	263.10105520307707	277.6977682287362	310.04040333392624	289.3579879271635	322.18045357813605
ENSDARG00000077982	5.3336179195843655e-18	2.9548243274497384e-14	0.9349522690823255	22	661505	665371	1	protein_coding	elf3	E74-like factor 3 (ets domain transcription factor, epithelial-specific ) [Source:ZFIN;Acc:ZDB-GENE-030131-8760]	445	718	637	651	691	965	1229	1219	1028	1320	490.43264236216555	675.6576486192859	530.5165497602194	653.8108409538355	634.7856034100209	1015.5700730838774	1040.519991320478	1207.4736474889971	1152.945781353194	1292.6389018940413
ENSDARG00000070480	1.2940060161760502e-17	5.735034663692255e-14	1.0699010828953783	19	30400372	30404096	-1	protein_coding	agr2	anterior gradient 2 [Source:NCBI gene;Acc:335616]	213	292	312	248	231	376	650	599	390	618	234.7464108385197	274.77999080338645	259.84484069888293	249.07079655384211	212.20763297787965	395.70398702542786	550.315699233776	593.3361073387279	437.40160965734015	605.1900313413012
ENSDARG00000007769	4.245003753873642e-17	1.5678213864306653e-13	1.6785196633873156	7	56602521	56606752	-1	protein_coding	sult5a1	sulfotransferase family 5A, member 1 [Source:ZFIN;Acc:ZDB-GENE-060929-978]	54	195	129	170	151	381	480	396	468	400	59.51317457877964	183.5003363241793	107.43584759665353	170.7340137667466	138.71581203315944	400.9660081294894	406.3869778957115	392.25559016049453	524.8819315888082	391.70875814970947
ENSDARG00000102435	6.025610180317608e-17	1.9075360227976884e-13	1.0539265022132713	7	45975537	45976956	1	protein_coding	plekhf1	pleckstrin homology domain containing, family F (with FYVE domain) member 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1289]	237	403	434	239	382	544	796	723	560	737	261.19671065131064	379.2340284033039	361.4508361003692	240.03193700148495	350.9234450110391	572.5078961218957	673.9250716770549	716.1636153687817	628.06384976438585	721.7233868908397
ENSDARG00000101482	9.742460938723084e-17	2.6986616800262944e-13	0.9350743176658163	5	13870340	14004206	1	protein_coding	hk2	hexokinase 2 [Source:ZFIN;Acc:ZDB-GENE-040426-2017]	104	126	153	153	144	188	296	245	229	294	114.61796585542746	118.56944808639278	127.42391226579836	153.66061239007195	132.2852777004964	197.85199351271393	250.60530303568876	242.68338280131607	256.83325285007925	287.90593724003645
ENSDARG00000034503	2.261103100242347e-16	5.567338300152267e-13	0.6082489350504545	2	48309600	48375342	-1	protein_coding	per2	period circadian clock 2 [Source:ZFIN;Acc:ZDB-GENE-011220-2]	575	760	717	571	737	932	1186	959	848	1007	633.7050996814498	715.1807979814168	597.1434319907022	573.4654227106606	677.0434004532351	980.8407337970713	1004.1144912173205	949.9320983937229	951.0681153574986	986.1267986418936
ENSDARG00000013670	1.0522810463441053e-14	2.3318547986985375e-11	0.501555139479715	10	29770120	29791466	1	protein_coding	hyou1	hypoxia up-regulated 1 [Source:NCBI gene;Acc:327133]	382	477	492	434	485	536	753	656	530	623	421.0006053535893	448.87005346991555	409.75532571746925	435.8738939692237	445.5441644773664	564.0886623553972	637.5195715738975	649.7971392557687	594.4175720984366	610.0863908181725
