Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description
ENSDARG00000031683	4.643118070869456e-44	1.0546842697979969e-39	-1.663131028281703	20	46552311	46554440	-1	protein_coding	fosab	v-fos FBJ murine osteosarcoma viral oncogene homolog Ab [Source:ZFIN;Acc:ZDB-GENE-031222-4]
ENSDARG00000034503	2.574560007233878e-32	2.9240565282158764e-28	0.838035510509445	2	48309600	48375342	-1	protein_coding	per2	period circadian clock 2 [Source:ZFIN;Acc:ZDB-GENE-011220-2]
ENSDARG00000104773	4.280493831142787e-28	3.2410472458136137e-24	-0.7810541746309473	3	7654655	7656059	-1	protein_coding	junbb	JunB proto-oncogene, AP-1 transcription factor subunit b [Source:ZFIN;Acc:ZDB-GENE-040426-2666]
ENSDARG00000055752	2.4946351270432096e-23	1.4166409227696627e-19	-0.7447448588293989	14	30636955	30642819	-1	protein_coding	npas4a	neuronal PAS domain protein 4a [Source:NCBI gene;Acc:724016]
ENSDARG00000087440	1.5844414500661688e-22	7.198117507650605e-19	2.0679494980332445	7	22680560	22684292	1	protein_coding	ponzr4	plac8 onzin related protein 4 [Source:ZFIN;Acc:ZDB-GENE-050411-6]
ENSDARG00000059054	2.9112546271422863e-22	1.0170186075775713e-18	0.7471538319065161	19	5674907	5687743	1	protein_coding	pdk2b	pyruvate dehydrogenase kinase, isozyme 2b [Source:ZFIN;Acc:ZDB-GENE-040426-939]
ENSDARG00000099195	3.1341097305934403e-22	1.0170186075775713e-18	-0.7927835991597645	3	33761549	33762726	1	protein_coding	ier2a	immediate early response 2a [Source:NCBI gene;Acc:797137]
ENSDARG00000079227	1.327477759287021e-21	3.769207162775586e-18	-1.4893702196945517	12	30517386	30523229	-1	protein_coding	plekhs1	pleckstrin homology domain containing, family S member 1 [Source:ZFIN;Acc:ZDB-GENE-080204-50]
ENSDARG00000098761	5.729356205151218e-21	1.4460258466667767e-17	-1.7197202185116396	22	24246213	24248420	-1	protein_coding	rgs2	regulator of G protein signaling 2 [Source:ZFIN;Acc:ZDB-GENE-040718-410]
ENSDARG00000086881	1.5342143411289934e-18	3.2117430800886777e-15	-0.8602131689498111	11	31038409	31039533	-1	protein_coding	ier2b	immediate early response 2b [Source:ZFIN;Acc:ZDB-GENE-030131-8244]
ENSDARG00000093494	1.555323525466672e-18	3.2117430800886777e-15	-0.772155925667385	1	52398205	52400660	1	protein_coding	si:ch211-217k17.9	si:ch211-217k17.9 [Source:ZFIN;Acc:ZDB-GENE-061207-21]
ENSDARG00000032801	3.3465479130797062e-18	6.334736320467128e-15	-1.2966320682914954	10	2715548	2755378	1	protein_coding	grk5	G protein-coupled receptor kinase 5 [Source:ZFIN;Acc:ZDB-GENE-091204-274]
ENSDARG00000023656	4.744222611829217e-18	8.289616663669282e-15	-9.08493307391428	22	14093306	14094746	1	protein_coding	he1.1	hatching enzyme 1, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-021211-3]
ENSDARG00000097826	4.481406834061457e-17	7.271082588264714e-14	1.1914099813769465	12	39034225	39061186	1	protein_coding	si:dkey-239b22.2	si:dkey-239b22.2 [Source:ZFIN;Acc:ZDB-GENE-131120-8]
ENSDARG00000053761	6.904147144375207e-17	1.045518015896552e-13	-1.288266969193545	7	2228276	2234151	1	protein_coding	si:dkey-187j14.4	si:dkey-187j14.4 [Source:ZFIN;Acc:ZDB-GENE-131119-26]
ENSDARG00000070041	1.1730225412308697e-16	1.6653254390037004e-13	-2.1869730666865665	12	30528623	30540755	-1	protein_coding	zgc:153920	zgc:153920 [Source:ZFIN;Acc:ZDB-GENE-061013-702]
ENSDARG00000037421	1.9453274842534563e-16	2.599300812048074e-13	-0.5659082294197473	14	21332522	21336385	-1	protein_coding	egr1	early growth response 1 [Source:NCBI gene;Acc:30498]
ENSDARG00000077799	1.4410353853951553e-15	1.818506598847275e-12	-0.9271371116430163	23	45579497	45581626	1	protein_coding	egr4	early growth response 4 [Source:ZFIN;Acc:ZDB-GENE-080204-90]
ENSDARG00000089806	1.882042840195458e-15	2.2500317428968333e-12	-7.849496180951048	12	16634442	16636627	-1	protein_coding	si:dkey-239j18.3	si:dkey-239j18.3 [Source:ZFIN;Acc:ZDB-GENE-121214-39]
ENSDARG00000040277	1.969136601114675e-14	2.236446894715992e-11	0.5145653669246746	16	25259313	25272633	1	protein_coding	fbxo32	F-box protein 32 [Source:ZFIN;Acc:ZDB-GENE-040426-1040]
ENSDARG00000074150	6.136277498535287e-13	6.637406827582336e-10	-2.1132815323773926	12	46231498	46252062	-1	protein_coding	si:ch211-226h7.5	si:ch211-226h7.5 [Source:ZFIN;Acc:ZDB-GENE-130531-3]
ENSDARG00000076844	6.732878632842343e-13	6.951697188409719e-10	-1.1586285319646836	16	28797703	28836529	-1	protein_coding	plin6	perilipin 6 [Source:ZFIN;Acc:ZDB-GENE-070410-23]
ENSDARG00000093936	1.405016987615471e-12	1.3876069945080617e-9	-2.1064906410552684	18	7591381	7593581	1	protein_coding	si:dkeyp-1h4.6	si:dkeyp-1h4.6 [Source:ZFIN;Acc:ZDB-GENE-060503-841]
ENSDARG00000014975	1.8586731773846115e-12	1.7591567176788105e-9	-1.3364108513021749	16	25975426	25978063	-1	protein_coding	irge1	immunity-related GTPase family, e1 [Source:ZFIN;Acc:ZDB-GENE-051209-1]
ENSDARG00000020876	2.635143664325429e-12	2.394291533406085e-9	0.4230653213635479	12	28559408	28570989	-1	protein_coding	pdk2a	pyruvate dehydrogenase kinase, isozyme 2a [Source:ZFIN;Acc:ZDB-GENE-120910-1]
ENSDARG00000099186	3.0174161517054074e-12	2.6361772263841666e-9	0.36506359299074265	15	11643659	11671173	1	protein_coding	slc1a5	solute carrier family 1 member 5 [Source:ZFIN;Acc:ZDB-GENE-070501-4]
ENSDARG00000043093	4.03785904234065e-12	3.3970358572876986e-9	-1.038810747644992	8	19356072	19359834	1	protein_coding	mpeg1.2	macrophage expressed 1, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-050522-305]
ENSDARG00000068951	4.611807221841885e-12	3.74132860871923e-9	-2.3829754325572434	18	15758375	15768336	1	protein_coding	si:ch211-219a15.4	si:ch211-219a15.4 [Source:ZFIN;Acc:ZDB-GENE-060503-308]
ENSDARG00000113076	6.357746182154484e-12	4.979869121642727e-9	-1.4297759609849117	12	43848634	44024244	-1	protein_coding	si:ch211-182p11.1	si:ch211-182p11.1 [Source:ZFIN;Acc:ZDB-GENE-131127-323]
ENSDARG00000097157	8.316438212008917e-12	6.296929799526084e-9	-1.0491125672709012	15	29593547	29598679	-1	protein_coding	si:ch211-207n23.2	si:ch211-207n23.2 [Source:ZFIN;Acc:ZDB-GENE-131121-310]
ENSDARG00000094198	9.873623557087298e-12	7.23481803545929e-9	0.5368545572513594	23	40466502	40472088	1	processed_transcript	CR354556.1	NA
ENSDARG00000100106	1.0873478847506088e-11	7.7184710006594e-9	-1.1448170417866919	12	43852970	43982343	-1	protein_coding	CR385054.1	NA
ENSDARG00000099555	1.1974939254669367e-11	8.242749853630747e-9	0.40927581346248776	15	3284416	3379041	1	protein_coding	foxo1a	forkhead box O1 a [Source:NCBI gene;Acc:768121]
ENSDARG00000100826	3.16740548704351e-11	2.116106342299804e-8	0.3813334401548895	15	25501864	25527581	-1	protein_coding	hif1al	hypoxia inducible factor 1 subunit alpha, like [Source:ZFIN;Acc:ZDB-GENE-040426-1315]
ENSDARG00000103199	4.00053693566357e-11	2.596348471245657e-8	-1.223153036209868	16	23339062	23346095	-1	protein_coding	si:dkey-247k7.2	si:dkey-247k7.2 [Source:ZFIN;Acc:ZDB-GENE-031118-45]
ENSDARG00000058285	5.4037342231985244e-11	3.409606191109846e-8	0.41574265769828317	18	8340886	8367566	1	protein_coding	cpt1b	carnitine palmitoyltransferase 1B (muscle) [Source:ZFIN;Acc:ZDB-GENE-041010-9]
ENSDARG00000030896	7.52863682410829e-11	4.621972579989725e-8	-0.7985946819383261	2	720779	722170	-1	protein_coding	foxq1a	forkhead box Q1a [Source:ZFIN;Acc:ZDB-GENE-070424-74]
ENSDARG00000104398	1.0720085937871407e-10	6.408072423124974e-8	-1.9855723632395266	16	45149355	45152169	-1	protein_coding	si:ch73-343g19.4	si:ch73-343g19.4 [Source:ZFIN;Acc:ZDB-GENE-100922-108]
ENSDARG00000076196	1.3886935517851212e-10	8.08824975097411e-8	-1.6775458308098241	12	46209859	46228023	-1	protein_coding	si:ch211-226h7.6	si:ch211-226h7.6 [Source:ZFIN;Acc:ZDB-GENE-130531-12]
ENSDARG00000079497	2.6900925780860815e-10	1.5276363227806336e-7	-0.5085050155168896	5	27866649	27867657	-1	protein_coding	tcima	transcriptional and immune response regulator a [Source:ZFIN;Acc:ZDB-GENE-050320-36]
ENSDARG00000101040	2.859594350369878e-10	1.58428501630858e-7	-2.0331427128516757	2	45191049	45193014	1	protein_coding	ccl20a.3	chemokine (C-C motif) ligand 20a, duplicate 3 [Source:ZFIN;Acc:ZDB-GENE-081022-193]
ENSDARG00000054160	3.0517055469807435e-10	1.6504640833254188e-7	-1.8013023577103893	10	40786196	40819136	-1	protein_coding	zgc:113625	zgc:113625 [Source:ZFIN;Acc:ZDB-GENE-050320-47]
ENSDARG00000052779	4.935914531757614e-10	2.60742554857847e-7	-1.6788222933942918	12	46120836	46145909	-1	protein_coding	zgc:153932	zgc:153932 [Source:ZFIN;Acc:ZDB-GENE-070209-223]
ENSDARG00000074526	1.208157401208195e-9	6.237112583737307e-7	0.5406284577533254	15	18253542	18361475	-1	protein_coding	zbtb16b	zinc finger and BTB domain containing 16b [Source:ZFIN;Acc:ZDB-GENE-100923-1]
ENSDARG00000088641	1.8572592840273647e-9	9.224576907256467e-7	-1.4511411523194524	19	40196462	40199098	-1	protein_coding	grn2	granulin 2 [Source:ZFIN;Acc:ZDB-GENE-050522-264]
ENSDARG00000102558	1.8680631201135703e-9	9.224576907256467e-7	0.5053666683932402	6	344423	346084	-1	protein_coding	pde6ha	phosphodiesterase 6H, cGMP-specific, cone, gamma, paralog a [Source:ZFIN;Acc:ZDB-GENE-040426-1754]
ENSDARG00000035178	1.9497008523706143e-9	9.42286273651032e-7	-0.8901875450736051	5	55543580	55560937	-1	protein_coding	gna14	guanine nucleotide binding protein (G protein), alpha 14 [Source:ZFIN;Acc:ZDB-GENE-040808-7]
ENSDARG00000069946	2.3051172906822488e-9	1.090848734538485e-6	0.5197625731527228	1	31019165	31064706	1	protein_coding	itga6b	integrin, alpha 6b [Source:ZFIN;Acc:ZDB-GENE-050320-5]
ENSDARG00000045768	2.658651018742464e-9	1.232474650831328e-6	0.2891972239228979	4	12013043	12026507	1	protein_coding	cry1a	cryptochrome circadian regulator 1a [Source:ZFIN;Acc:ZDB-GENE-010426-2]
ENSDARG00000056511	2.8166643208909532e-9	1.27961060098076e-6	0.3832728509279693	10	26800213	26811397	1	protein_coding	arr3a	arrestin 3a, retinal (X-arrestin) [Source:ZFIN;Acc:ZDB-GENE-040718-102]
ENSDARG00000038321	2.996673494601514e-9	1.334694871173988e-6	-1.9338331979660082	9	33080438	33081978	-1	protein_coding	zgc:172053	zgc:172053 [Source:ZFIN;Acc:ZDB-GENE-080219-25]
ENSDARG00000035859	3.836437137689209e-9	1.6758590304348152e-6	0.4745609888648301	2	24536762	24542518	1	protein_coding	angptl4	angiopoietin-like 4 [Source:ZFIN;Acc:ZDB-GENE-041111-222]
ENSDARG00000101849	4.470575317447273e-9	1.9160211006757513e-6	0.2527385193558007	4	8670662	8711031	1	protein_coding	adipor2	adiponectin receptor 2 [Source:ZFIN;Acc:ZDB-GENE-041210-60]
ENSDARG00000091260	4.556919498904852e-9	1.9168597484745133e-6	0.43618182007037065	2	394166	424925	1	protein_coding	mylk4a	myosin light chain kinase family, member 4a [Source:ZFIN;Acc:ZDB-GENE-120824-2]
ENSDARG00000019122	5.234640238158635e-9	2.161906418359516e-6	-5.686913477183847	22	14098028	14099399	1	protein_coding	he1.2	hatching enzyme 1, tandem dupliate 2 [Source:ZFIN;Acc:ZDB-GENE-030131-2100]
ENSDARG00000103435	5.454817782707586e-9	2.2126104631107645e-6	0.24606189539427978	13	23132666	23226460	1	protein_coding	sorbs1	sorbin and SH3 domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-090313-168]
ENSDARG00000006588	7.836934191224057e-9	3.1230870202395516e-6	-0.904126591484335	1	45173421	45177401	-1	protein_coding	zgc:111983	zgc:111983 [Source:ZFIN;Acc:ZDB-GENE-050417-335]
ENSDARG00000091131	1.161271331223072e-8	4.547979015298634e-6	0.4278666278799092	22	786556	809282	1	protein_coding	cry3b	cryptochrome circadian regulator 3b [Source:ZFIN;Acc:ZDB-GENE-010426-5]
ENSDARG00000103720	1.3808286099800971e-8	5.316190148423374e-6	-0.4859875315144958	15	13984879	13986761	1	protein_coding	NA	zgc:162730 [Source:ZFIN;Acc:ZDB-GENE-030131-6366]
ENSDARG00000117407	1.5539144819718547e-8	5.882861242998447e-6	0.49552346658251345	5	13603536	13616296	1	lincRNA	AL954191.2	uncharacterized LOC101885516 [Source:NCBI gene;Acc:101885516]
ENSDARG00000028507	1.704289095143276e-8	6.346381441996641e-6	0.4910030147512802	8	13106760	13159587	1	protein_coding	itgb4	integrin, beta 4 [Source:ZFIN;Acc:ZDB-GENE-030131-7209]
ENSDARG00000094460	1.768361961063309e-8	6.476327320466584e-6	0.41699462302155405	23	40477220	40480582	1	processed_transcript	CR354556.3	NA
ENSDARG00000036820	1.7962078854915026e-8	6.476327320466584e-6	-0.35967731890322835	8	26292560	26326501	1	protein_coding	mgll	monoglyceride lipase [Source:ZFIN;Acc:ZDB-GENE-031006-9]
ENSDARG00000100185	1.835938742849359e-8	6.506952461095038e-6	-0.8420144761042253	KN150589.1	3626	5397	-1	protein_coding	elovl7b	ELOVL fatty acid elongase 7b [Source:ZFIN;Acc:ZDB-GENE-030131-5485]
ENSDARG00000105693	1.861993880568688e-8	6.506952461095038e-6	0.2881016749110165	7	51219008	51249535	-1	transcribed_unprocessed_pseudogene	CR354588.1	insulin receptor substrate 2-B-like [Source:NCBI gene;Acc:794462]
ENSDARG00000042874	2.506991592122019e-8	8.62822939621995e-6	-0.4871442523551103	25	23524796	23526086	-1	protein_coding	phlda2	pleckstrin homology-like domain, family A, member 2 [Source:NCBI gene;Acc:553622]
ENSDARG00000098256	2.5481765993136298e-8	8.639079321404344e-6	-0.7408481084468155	12	43730276	43819253	-1	protein_coding	si:ch73-329n5.6	si:ch73-329n5.6 [Source:ZFIN;Acc:ZDB-GENE-131121-171]
ENSDARG00000075048	3.977935038586896e-8	1.3288058000220785e-5	0.3121960860429354	14	34068075	34092744	1	protein_coding	lonrf1	LON peptidase N-terminal domain and ring finger 1 [Source:ZFIN;Acc:ZDB-GENE-101021-4]
ENSDARG00000105341	4.689116507093522e-8	1.543670745777237e-5	0.7074096624782137	23	3538463	3641439	1	protein_coding	si:dkey-9l20.3	si:dkey-9l20.3 [Source:ZFIN;Acc:ZDB-GENE-090313-369]
ENSDARG00000092778	5.194011751769198e-8	1.6854568134491046e-5	-2.7581814029684573	3	5083407	5113772	1	protein_coding	si:ch73-338o16.4	si:ch73-338o16.4 [Source:ZFIN;Acc:ZDB-GENE-131119-14]
ENSDARG00000104225	5.704358137033619e-8	1.8249928884889953e-5	0.32391118986615014	3	48584684	48612078	-1	protein_coding	ndel1b	nudE neurodevelopment protein 1-like 1b [Source:NCBI gene;Acc:333957]
ENSDARG00000069566	7.254654726801615e-8	2.2887428072124815e-5	-0.8916897103668505	1	45149844	45157243	-1	protein_coding	mucms1	mucin, multiple PTS and SEA group, member 1 [Source:ZFIN;Acc:ZDB-GENE-061009-17]
ENSDARG00000098108	7.938570335512792e-8	2.47020034481059e-5	-0.35022260006142397	8	40628926	40633991	1	protein_coding	dusp2	dual specificity phosphatase 2 [Source:ZFIN;Acc:ZDB-GENE-040801-188]
ENSDARG00000074378	8.801968783627069e-8	2.701847580001201e-5	-0.48681654805314756	1	51732979	51734535	-1	protein_coding	junba	JunB proto-oncogene, AP-1 transcription factor subunit a [Source:ZFIN;Acc:ZDB-GENE-040426-2172]
ENSDARG00000004748	9.107636323908664e-8	2.7583994546344707e-5	-0.6346575295198447	3	39472342	39488639	-1	protein_coding	zgc:100868	zgc:100868 [Source:ZFIN;Acc:ZDB-GENE-040801-33]
ENSDARG00000041947	9.770857713119805e-8	2.920329380967321e-5	-0.6533104025786076	16	31965340	31976269	-1	protein_coding	styk1b	serine/threonine/tyrosine kinase 1b [Source:ZFIN;Acc:ZDB-GENE-030131-3435]
ENSDARG00000102798	1.3155404710440525e-7	3.880844389579955e-5	-0.3364787799407586	22	5632029	5655680	-1	protein_coding	mcm2	minichromosome maintenance complex component 2 [Source:ZFIN;Acc:ZDB-GENE-020419-24]
ENSDARG00000041051	1.8758216057059429e-7	5.462729201744935e-5	-0.4473618199648246	9	30263188	30264415	-1	protein_coding	mid1ip1a	MID1 interacting protein 1a [Source:NCBI gene;Acc:30600]
ENSDARG00000088234	1.9486468376925593e-7	5.534323466988818e-5	-1.555584573159671	1	52433847	52437056	-1	protein_coding	si:ch211-217k17.12	si:ch211-217k17.12 [Source:ZFIN;Acc:ZDB-GENE-061207-20]
ENSDARG00000074635	1.9491343929522581e-7	5.534323466988818e-5	0.3040414993977956	1	52560549	52628407	1	protein_coding	abca1a	ATP-binding cassette, sub-family A (ABC1), member 1A [Source:ZFIN;Acc:ZDB-GENE-031006-12]
ENSDARG00000040649	2.0693015551829967e-7	5.8029857809854036e-5	0.4594452789031625	25	314608	348784	-1	protein_coding	prickle1a	prickle homolog 1a [Source:ZFIN;Acc:ZDB-GENE-030724-5]
ENSDARG00000041294	2.1950000119140192e-7	6.0804177159301154e-5	-0.7226770029169781	3	62161184	62169060	1	protein_coding	noxo1a	NADPH oxidase organizer 1a [Source:ZFIN;Acc:ZDB-GENE-030131-9700]
ENSDARG00000102175	2.387088292766219e-7	6.532856695202971e-5	-0.9762935915649252	16	50289916	50292583	1	protein_coding	hamp	hepcidin antimicrobial peptide [Source:NCBI gene;Acc:402837]
ENSDARG00000104823	4.898963405943348e-7	1.3247613543571803e-4	-0.4252266141710699	6	23887314	23889678	1	protein_coding	znf648	zinc finger protein 648 [Source:ZFIN;Acc:ZDB-GENE-120215-149]
ENSDARG00000007769	5.392929275305857e-7	1.44118104104203e-4	-1.0205939390845835	7	56602521	56606752	-1	protein_coding	sult5a1	sulfotransferase family 5A, member 1 [Source:ZFIN;Acc:ZDB-GENE-060929-978]
ENSDARG00000055644	5.534698469606057e-7	1.4618683225244372e-4	-0.7014459608840141	6	39098397	39105480	1	protein_coding	prss60.2	serine protease 60.2 [Source:ZFIN;Acc:ZDB-GENE-050320-109]
ENSDARG00000061682	6.135110916732046e-7	1.601828097397338e-4	0.4682694231011785	17	20983798	21049260	-1	protein_coding	bicc1a	BicC family RNA binding protein 1a [Source:ZFIN;Acc:ZDB-GENE-101223-3]
ENSDARG00000076914	6.266335902733687e-7	1.617497954893133e-4	-1.0930101938952803	9	18572970	18587754	1	protein_coding	lacc1	laccase (multicopper oxidoreductase) domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-081104-155]
ENSDARG00000077982	7.209337289500772e-7	1.84000108461809e-4	-0.5271999691306511	22	661505	665371	1	protein_coding	elf3	E74-like factor 3 (ets domain transcription factor, epithelial-specific ) [Source:ZFIN;Acc:ZDB-GENE-030131-8760]
ENSDARG00000052115	8.776965453916997e-7	2.2152085587302732e-4	-1.2419379555401593	25	10410620	10436906	1	protein_coding	ehf	ets homologous factor [Source:ZFIN;Acc:ZDB-GENE-060312-7]
ENSDARG00000035309	9.531102829591192e-7	2.3590529485655712e-4	0.34086284227728686	16	8258203	8280885	-1	protein_coding	entpd3	ectonucleoside triphosphate diphosphohydrolase 3 [Source:ZFIN;Acc:ZDB-GENE-030131-6186]
ENSDARG00000029766	9.554605822937819e-7	2.3590529485655712e-4	0.5833478162594209	9	9502610	9562644	1	protein_coding	nr1i2	nuclear receptor subfamily 1, group I, member 2 [Source:ZFIN;Acc:ZDB-GENE-030903-3]
