Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description
ENSDARG00000034503	1.1999190559481999e-76	2.592425120376086e-72	1.2987731668431817	2	48309600	48375342	-1	protein_coding	per2	period circadian clock 2 [Source:ZFIN;Acc:ZDB-GENE-011220-2]
ENSDARG00000031683	1.9491599728661852e-47	2.1055800606886966e-43	-1.7263591710469182	20	46552311	46554440	-1	protein_coding	fosab	v-fos FBJ murine osteosarcoma viral oncogene homolog Ab [Source:ZFIN;Acc:ZDB-GENE-031222-4]
ENSDARG00000099195	1.8891877295184543e-27	1.3605300298748736e-23	-0.8877579254145246	3	33761549	33762726	1	protein_coding	ier2a	immediate early response 2a [Source:NCBI gene;Acc:797137]
ENSDARG00000104773	2.0661790708303126e-26	1.1159949706322226e-22	-0.7515793787515823	3	7654655	7656059	-1	protein_coding	junbb	JunB proto-oncogene, AP-1 transcription factor subunit b [Source:ZFIN;Acc:ZDB-GENE-040426-2666]
ENSDARG00000055752	3.679055095143318e-22	1.4226675426250608e-18	-0.7200445098640302	14	30636955	30642819	-1	protein_coding	npas4a	neuronal PAS domain protein 4a [Source:NCBI gene;Acc:724016]
ENSDARG00000037421	4.554438226127322e-22	1.4226675426250608e-18	-0.6645342136677493	14	21332522	21336385	-1	protein_coding	egr1	early growth response 1 [Source:NCBI gene;Acc:30498]
ENSDARG00000078567	4.609429668306145e-22	1.4226675426250608e-18	0.6241057753652595	8	13700605	13788311	1	protein_coding	lonrf1l	LON peptidase N-terminal domain and ring finger 1, like [Source:ZFIN;Acc:ZDB-GENE-081104-397]
ENSDARG00000086881	8.813434053928441e-21	2.3801780341890498e-17	-0.9134893181139042	11	31038409	31039533	-1	protein_coding	ier2b	immediate early response 2b [Source:ZFIN;Acc:ZDB-GENE-030131-8244]
ENSDARG00000045768	1.5642335012635917e-20	3.755029421644433e-17	0.44830533012827883	4	12013043	12026507	1	protein_coding	cry1a	cryptochrome circadian regulator 1a [Source:ZFIN;Acc:ZDB-GENE-010426-2]
ENSDARG00000020298	7.398764907621008e-19	1.5985031582915188e-15	-0.8399746464765601	22	336256	339623	1	protein_coding	btg2	B-cell translocation gene 2 [Source:ZFIN;Acc:ZDB-GENE-000210-15]
ENSDARG00000098761	2.2465281930913937e-18	4.4123856010672325e-15	-1.5716185468076886	22	24246213	24248420	-1	protein_coding	rgs2	regulator of G protein signaling 2 [Source:ZFIN;Acc:ZDB-GENE-040718-410]
ENSDARG00000075048	7.182498407491316e-18	1.2931489841154157e-14	0.48355132652530525	14	34068075	34092744	1	protein_coding	lonrf1	LON peptidase N-terminal domain and ring finger 1 [Source:ZFIN;Acc:ZDB-GENE-101021-4]
ENSDARG00000079227	1.7218457175113642e-16	2.8615751328333094e-13	-1.2693426452003513	12	30517386	30523229	-1	protein_coding	plekhs1	pleckstrin homology domain containing, family S member 1 [Source:ZFIN;Acc:ZDB-GENE-080204-50]
ENSDARG00000077799	4.956772496051322e-16	7.649362126942059e-13	-0.9384838320592722	23	45579497	45581626	1	protein_coding	egr4	early growth response 4 [Source:ZFIN;Acc:ZDB-GENE-080204-90]
ENSDARG00000021443	2.8515467910763886e-15	4.1071778947470245e-12	-0.3685101223306641	20	9575374	9580446	-1	protein_coding	zfp36l1b	zinc finger protein 36, C3H type-like 1b [Source:ZFIN;Acc:ZDB-GENE-030131-2391]
ENSDARG00000091131	1.7310395388698436e-11	2.3374443273301858e-8	0.5024561463331265	22	786556	809282	1	protein_coding	cry3b	cryptochrome circadian regulator 3b [Source:ZFIN;Acc:ZDB-GENE-010426-5]
ENSDARG00000074378	2.1488498644178334e-11	2.7309353718086643e-8	-0.6105039091157676	1	51732979	51734535	-1	protein_coding	junba	JunB proto-oncogene, AP-1 transcription factor subunit a [Source:ZFIN;Acc:ZDB-GENE-040426-2172]
ENSDARG00000105590	6.889476777822655e-11	7.932296969262946e-8	0.643394136441925	7	2021025	2047639	-1	protein_coding	si:cabz01007794.1	si:cabz01007794.1 [Source:ZFIN;Acc:ZDB-GENE-160728-147]
ENSDARG00000100504	6.975868660772783e-11	7.932296969262946e-8	-0.6812359597730547	6	18196961	18199062	-1	protein_coding	ppp1r27b	protein phosphatase 1, regulatory subunit 27b [Source:ZFIN;Acc:ZDB-GENE-051023-5]
ENSDARG00000100106	1.1493254714347758e-10	1.2415588405174166e-7	-1.0777935388372515	12	43852970	43982343	-1	protein_coding	CR385054.1	NA
ENSDARG00000113076	2.0436475280948436e-10	2.1025240402137666e-7	-1.3195993410052778	12	43848634	44024244	-1	protein_coding	si:ch211-182p11.1	si:ch211-182p11.1 [Source:ZFIN;Acc:ZDB-GENE-131127-323]
ENSDARG00000069946	2.2718448679864097e-10	2.1932021532416747e-7	0.5507683049546043	1	31019165	31064706	1	protein_coding	itga6b	integrin, alpha 6b [Source:ZFIN;Acc:ZDB-GENE-050320-5]
ENSDARG00000007769	2.630859168682376e-10	2.1932021532416747e-7	-1.2986992442961032	7	56602521	56606752	-1	protein_coding	sult5a1	sulfotransferase family 5A, member 1 [Source:ZFIN;Acc:ZDB-GENE-060929-978]
ENSDARG00000093936	2.6531912000976154e-10	2.1932021532416747e-7	-1.8730983165470647	18	7591381	7593581	1	protein_coding	si:dkeyp-1h4.6	si:dkeyp-1h4.6 [Source:ZFIN;Acc:ZDB-GENE-060503-841]
ENSDARG00000074150	2.7316133971513217e-10	2.1932021532416747e-7	-1.7727443763187754	12	46231498	46252062	-1	protein_coding	si:ch211-226h7.5	si:ch211-226h7.5 [Source:ZFIN;Acc:ZDB-GENE-130531-3]
ENSDARG00000020573	2.737544668493539e-10	2.1932021532416747e-7	0.18123554216347731	9	33334501	33354738	1	protein_coding	ddx3xa	DEAD-box helicase 3 X-linked a [Source:ZFIN;Acc:ZDB-GENE-030131-1565]
ENSDARG00000043093	2.7408682313133634e-10	2.1932021532416747e-7	-0.94298615801436	8	19356072	19359834	1	protein_coding	mpeg1.2	macrophage expressed 1, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-050522-305]
ENSDARG00000044356	3.123123031668668e-10	2.4098240392571994e-7	0.5082970611505624	6	28795780	28914225	1	protein_coding	tp63	tumor protein p63 [Source:ZFIN;Acc:ZDB-GENE-030819-1]
ENSDARG00000093494	3.355997565727421e-10	2.5002181864669286e-7	-0.546199555565619	1	52398205	52400660	1	protein_coding	si:ch211-217k17.9	si:ch211-217k17.9 [Source:ZFIN;Acc:ZDB-GENE-061207-21]
ENSDARG00000028507	3.4946683366409767e-10	2.516743647104277e-7	0.5456052818899174	8	13106760	13159587	1	protein_coding	itgb4	integrin, beta 4 [Source:ZFIN;Acc:ZDB-GENE-030131-7209]
ENSDARG00000070041	3.892200953815372e-10	2.712612955070358e-7	-1.526335473831961	12	30528623	30540755	-1	protein_coding	zgc:153920	zgc:153920 [Source:ZFIN;Acc:ZDB-GENE-061013-702]
ENSDARG00000039117	5.854164253196462e-10	3.9524755840721737e-7	0.29742293162371375	12	19144833	19153177	-1	protein_coding	tefa	TEF transcription factor, PAR bZIP family member a [Source:ZFIN;Acc:ZDB-GENE-990415-264]
ENSDARG00000058606	7.204533242101185e-10	4.654929357850527e-7	-0.354297337876438	9	9112159	9122562	1	protein_coding	sik1	salt-inducible kinase 1 [Source:ZFIN;Acc:ZDB-GENE-030131-9446]
ENSDARG00000068951	7.325507899417631e-10	4.654929357850527e-7	-2.075191341088875	18	15758375	15768336	1	protein_coding	si:ch211-219a15.4	si:ch211-219a15.4 [Source:ZFIN;Acc:ZDB-GENE-060503-308]
ENSDARG00000053761	9.534198602669113e-10	5.885324594590463e-7	-0.9172683632095734	7	2228276	2234151	1	protein_coding	si:dkey-187j14.4	si:dkey-187j14.4 [Source:ZFIN;Acc:ZDB-GENE-131119-26]
ENSDARG00000076196	1.6024574369058726e-9	9.616970256764271e-7	-1.5190805457626528	12	46209859	46228023	-1	protein_coding	si:ch211-226h7.6	si:ch211-226h7.6 [Source:ZFIN;Acc:ZDB-GENE-130531-12]
ENSDARG00000035309	1.9745108404878203e-9	1.152954235371334e-6	0.41338031003508285	16	8258203	8280885	-1	protein_coding	entpd3	ectonucleoside triphosphate diphosphohydrolase 3 [Source:ZFIN;Acc:ZDB-GENE-030131-6186]
ENSDARG00000026759	4.9826559190484584e-9	2.8329021350274195e-6	0.4443706392705845	6	102506	109626	1	protein_coding	ldlrb	low density lipoprotein receptor b [Source:ZFIN;Acc:ZDB-GENE-040426-1254]
ENSDARG00000069566	8.996218805452229e-9	4.9836745459434724e-6	-0.949936079923356	1	45149844	45157243	-1	protein_coding	mucms1	mucin, multiple PTS and SEA group, member 1 [Source:ZFIN;Acc:ZDB-GENE-061009-17]
ENSDARG00000098108	1.0105077382466193e-8	5.458004921204552e-6	-0.3716264050216675	8	40628926	40633991	1	protein_coding	dusp2	dual specificity phosphatase 2 [Source:ZFIN;Acc:ZDB-GENE-040801-188]
ENSDARG00000100826	1.1123714685453653e-8	5.8616550190055164e-6	0.3280238525275775	15	25501864	25527581	-1	protein_coding	hif1al	hypoxia inducible factor 1 subunit alpha, like [Source:ZFIN;Acc:ZDB-GENE-040426-1315]
ENSDARG00000109240	1.2265818443344357e-8	6.3095954159155915e-6	-2.652990012916299	KN150297.1	87	5872	-1	protein_coding	CABZ01067080.1	interferon-induced very large GTPase 1-like [Source:NCBI gene;Acc:101883914]
