Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	Cnt_1 count	Cnt_2 count	Cnt_3 count	Cnt_4 count	Cnt_6 count	Amp_1 count	Amp_2 count	Amp_3 count	Amp_4 count	Amp_5 count	Amp_6 count	Cnt_1 normalised count	Cnt_2 normalised count	Cnt_3 normalised count	Cnt_4 normalised count	Cnt_6 normalised count	Amp_1 normalised count	Amp_2 normalised count	Amp_3 normalised count	Amp_4 normalised count	Amp_5 normalised count	Amp_6 normalised count
ENSDARG00000031683	4.643118070869456e-44	1.0546842697979969e-39	-1.663131028281703	20	46552311	46554440	-1	protein_coding	fosab	v-fos FBJ murine osteosarcoma viral oncogene homolog Ab [Source:ZFIN;Acc:ZDB-GENE-031222-4]	555	976	720	537	953	215	218	254	209	196	198	611.6631831707907	918.4427089866616	599.6419400743453	539.3186199573113	875.4713170039797	197.61986554691453	216.40538415817159	242.72234032942137	241.6850070736336	207.14127867483734	239.38965893731176
ENSDARG00000034503	2.574560007233878e-32	2.9240565282158764e-28	0.838035510509445	2	48309600	48375342	-1	protein_coding	per2	period circadian clock 2 [Source:ZFIN;Acc:ZDB-GENE-011220-2]	575	760	717	571	737	1174	1340	1325	921	1068	812	633.7050996814498	715.1807979814168	597.1434319907022	573.4654227106606	677.0434004532351	1079.096382102687	1330.198232898853	1266.1696887263122	1065.0329737551033	1128.7086001261546	981.7394093792785
ENSDARG00000104773	4.280493831142787e-28	3.2410472458136137e-24	-0.7810541746309473	3	7654655	7656059	-1	protein_coding	junbb	JunB proto-oncogene, AP-1 transcription factor subunit b [Source:ZFIN;Acc:ZDB-GENE-040426-2666]	794	1066	946	875	987	558	461	571	467	448	481	875.0640854731673	1003.1351719055136	787.8628823754592	878.7780120347252	906.7053409054859	512.8924882566433	457.62789952714263	545.6474658586599	540.0330062363009	473.46577982819963	581.5476058022574
ENSDARG00000055752	2.4946351270432096e-23	1.4166409227696627e-19	-0.7447448588293989	14	30636955	30642819	-1	protein_coding	npas4a	neuronal PAS domain protein 4a [Source:NCBI gene;Acc:724016]	682	748	825	578	793	433	405	463	360	334	382	751.6293530134762	703.8884695922366	687.0897230018539	580.4956468069385	728.4876751145392	397.99721758983253	402.0375256149518	442.4426912304019	416.29953371534975	352.98564835405955	461.85277633360147
ENSDARG00000087440	1.5844414500661688e-22	7.198117507650605e-19	2.0679494980332445	7	22680560	22684292	1	protein_coding	ponzr4	plac8 onzin related protein 4 [Source:ZFIN;Acc:ZDB-GENE-050411-6]	16	12	20	15	25	75	58	78	57	72	65	17.6335332085273	11.292328389180266	16.6567205576207	15.064765920595288	22.966194045225073	68.93716240008646	57.57574440905482	74.53678167596404	65.91409283826371	76.09271461524636	78.58751429760235
ENSDARG00000059054	2.9112546271422863e-22	1.0170186075775713e-18	0.7471538319065161	19	5674907	5687743	1	protein_coding	pdk2b	pyruvate dehydrogenase kinase, isozyme 2b [Source:ZFIN;Acc:ZDB-GENE-040426-939]	5497	5139	6604	5967	5477	9861	9092	9277	8789	8683	7383	6058.220752954661	4835.939632666449	5500.049128126356	5992.763883212806	5031.4337914279085	9063.858112363368	9025.49427874356	8865.099020614338	10163.490560622804	9176.570013947003	8926.332585526125
ENSDARG00000099195	3.1341097305934403e-22	1.0170186075775713e-18	-0.7927835991597645	3	33761549	33762726	1	protein_coding	ier2a	immediate early response 2a [Source:NCBI gene;Acc:797137]	447	685	605	550	652	333	294	343	305	306	278	492.63683401323146	644.6037455490401	503.8657968680262	552.3747504218272	598.9583406994699	306.0810010563839	291.84946303900205	327.7707194212265	352.69821606439353	323.3940371147971	336.11275345743775
ENSDARG00000079227	1.327477759287021e-21	3.769207162775586e-18	-1.4893702196945517	12	30517386	30523229	-1	protein_coding	plekhs1	pleckstrin homology domain containing, family S member 1 [Source:ZFIN;Acc:ZDB-GENE-080204-50]	234	404	341	358	383	94	100	97	130	117	124	257.89042317471177	380.17505576906893	283.997085507433	359.54574663820756	351.8420927728481	86.4012435414417	99.26852484319797	92.69317721241681	150.3303871749874	123.65066124977535	149.92079650619525
ENSDARG00000098761	5.729356205151218e-21	1.4460258466667767e-17	-1.7197202185116396	22	24246213	24248420	-1	protein_coding	rgs2	regulator of G protein signaling 2 [Source:ZFIN;Acc:ZDB-GENE-040718-410]	144	163	195	167	122	39	26	57	52	38	50	158.7017988767457	153.3874606196986	162.40302543680184	167.72106058262756	112.07502694069835	35.847324448044965	25.809816459231474	54.46918660935834	60.13215486999497	40.16004382471336	60.45193407507873
ENSDARG00000086881	1.5342143411289934e-18	3.2117430800886777e-15	-0.8602131689498111	11	31038409	31039533	-1	protein_coding	ier2b	immediate early response 2b [Source:ZFIN;Acc:ZDB-GENE-030131-8244]	422	539	479	439	520	225	239	300	250	258	183	465.08443837490756	507.2137501473469	398.9284573550158	440.8954826094221	477.6968361406815	206.8114872002594	237.25177437524314	286.6799295229386	289.0968984134374	272.6655607046328	221.25407871478814
